model,split_type,acc,auc,f1,prec,recall,spec,acc_lower,acc_upper,auc_lower,auc_upper,f1_lower,f1_upper,prec_lower,prec_upper,recall_lower,recall_upper,spec_lower,spec_upper
baseline_logistic_regression,cv_fold_1,0.75,0.43727598566308234,0.16666666666666666,0.3333333333333333,0.1111111111111111,,0.75,0.7649999999999999,0.39283154121863795,0.5098064516129032,0.03333333333333333,0.21428571428571427,0.06666666666666667,0.4,0.02222222222222222,0.16,,
baseline_logistic_regression,cv_fold_2,0.75,0.5125448028673836,0.16666666666666666,0.3333333333333333,0.1111111111111111,,0.75,0.7649999999999999,0.39283154121863795,0.5098064516129032,0.03333333333333333,0.21428571428571427,0.06666666666666667,0.4,0.02222222222222222,0.16,,
baseline_logistic_regression,cv_fold_3,0.75,0.36200716845878134,0.0,0.0,0.0,,0.75,0.7649999999999999,0.39283154121863795,0.5098064516129032,0.03333333333333333,0.21428571428571427,0.06666666666666667,0.4,0.02222222222222222,0.16,,
baseline_logistic_regression,cv_fold_4,0.775,0.4014336917562724,0.0,0.0,0.0,,0.75,0.7649999999999999,0.39283154121863795,0.5098064516129032,0.03333333333333333,0.21428571428571427,0.06666666666666667,0.4,0.02222222222222222,0.16,,
baseline_logistic_regression,cv_fold_5,0.75,0.5433333333333333,0.2857142857142857,0.5,0.2,,0.75,0.7649999999999999,0.39283154121863795,0.5098064516129032,0.03333333333333333,0.21428571428571427,0.06666666666666667,0.4,0.02222222222222222,0.16,,
baseline_logistic_regression,cv_mean,0.755,0.4513189964157706,0.12380952380952381,0.2333333333333333,0.08444444444444445,,0.75,0.7649999999999999,0.39283154121863795,0.5098064516129032,0.03333333333333333,0.21428571428571427,0.06666666666666667,0.4,0.02222222222222222,0.16,,
baseline_lstm,cv_fold_1,0.575,0.3189964157706093,0.0,0.0,0.0,,0.625,0.72,0.38917562724014343,0.6237992831541219,0.1332817337461301,0.3762641898864809,0.1331250000000002,0.3888888888888889,0.11111111111111112,0.36,,
baseline_lstm,cv_fold_2,0.675,0.5878136200716846,0.23529411764705882,0.25,0.2222222222222222,,0.625,0.72,0.38917562724014343,0.6237992831541219,0.1332817337461301,0.3762641898864809,0.1331250000000002,0.3888888888888889,0.11111111111111112,0.36,,
baseline_lstm,cv_fold_3,0.7,0.4265232974910394,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.625,0.72,0.38917562724014343,0.6237992831541219,0.1332817337461301,0.3762641898864809,0.1331250000000002,0.3888888888888889,0.11111111111111112,0.36,,
baseline_lstm,cv_fold_4,0.725,0.44086021505376344,0.35294117647058826,0.375,0.3333333333333333,,0.625,0.72,0.38917562724014343,0.6237992831541219,0.1332817337461301,0.3762641898864809,0.1331250000000002,0.3888888888888889,0.11111111111111112,0.36,,
baseline_lstm,cv_fold_5,0.725,0.7000000000000001,0.42105263157894735,0.4444444444444444,0.4,,0.625,0.72,0.38917562724014343,0.6237992831541219,0.1332817337461301,0.3762641898864809,0.1331250000000002,0.3888888888888889,0.11111111111111112,0.36,,
baseline_lstm,cv_mean,0.6799999999999999,0.49483870967741933,0.26852425180598555,0.28055555555555556,0.2577777777777778,,0.625,0.72,0.38917562724014343,0.6237992831541219,0.1332817337461301,0.3762641898864809,0.1331250000000002,0.3888888888888889,0.11111111111111112,0.36,,
baseline_random_forest,cv_fold_1,0.775,0.5752688172043011,0.0,0.0,0.0,,0.76,0.775,0.4512444444444444,0.543326164874552,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_random_forest,cv_fold_2,0.775,0.48566308243727596,0.0,0.0,0.0,,0.76,0.775,0.4512444444444444,0.543326164874552,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_random_forest,cv_fold_3,0.775,0.46415770609318996,0.0,0.0,0.0,,0.76,0.775,0.4512444444444444,0.543326164874552,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_random_forest,cv_fold_4,0.775,0.4211469534050179,0.0,0.0,0.0,,0.76,0.775,0.4512444444444444,0.543326164874552,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_random_forest,cv_fold_5,0.75,0.5266666666666666,0.0,0.0,0.0,,0.76,0.775,0.4512444444444444,0.543326164874552,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_random_forest,cv_mean,0.77,0.4945806451612903,0.0,0.0,0.0,,0.76,0.775,0.4512444444444444,0.543326164874552,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_svm,cv_fold_1,0.775,0.4336917562724014,0.0,0.0,0.0,,0.76,0.775,0.4078494623655914,0.542594982078853,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_svm,cv_fold_2,0.775,0.5663082437275986,0.0,0.0,0.0,,0.76,0.775,0.4078494623655914,0.542594982078853,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_svm,cv_fold_3,0.775,0.4086021505376344,0.0,0.0,0.0,,0.76,0.775,0.4078494623655914,0.542594982078853,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_svm,cv_fold_4,0.775,0.39068100358422936,0.0,0.0,0.0,,0.76,0.775,0.4078494623655914,0.542594982078853,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_svm,cv_fold_5,0.75,0.5733333333333334,0.0,0.0,0.0,,0.76,0.775,0.4078494623655914,0.542594982078853,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline_svm,cv_mean,0.77,0.4745232974910395,0.0,0.0,0.0,,0.76,0.775,0.4078494623655914,0.542594982078853,0.0,0.0,0.0,0.0,0.0,0.0,,
breakthrough_enhanced_tagt,test,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
breakthrough_enhanced_tagt,validation,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
production_tagt_with_real_data,final,,0.5,0.0,0.0,0.0,,,,,,,,,,,,,
tagt,cv_fold_1,0.7,0.3655913978494623,0.14285714285714285,0.2,0.1111111111111111,0.8709677419354839,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
tagt,cv_fold_2,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
tagt,cv_fold_3,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
tagt,cv_fold_4,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
tagt,cv_fold_5,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
